ID;SHA1;MD5;Ransomware;Ransomware_Family
10001;77d6871f350be911b2b5c3e16cc2c222c1887779;12be6e7241d2503f31fae01046e88d68;1;2
10002;96fb7d2e3ad9fe434a66abb15b26dd4e40aa5d4b;aea8ab12edf294ddb2804d6618fdd247;1;3
10003;8ecc04ce43c0c77978fa83169819e37a92110318;d5d010f8b2f145399a9638f457ff3990;1;2
10005;0d9e3696c8516a89567ef712c612edacc3c3386b;d1510b299e8570afd352d20d516f6f48;1;5
10006;b1e88afcd0ea38655005eb4a6247ce9355b518ba;bc5734bcc7e2d8e2e208ea483a09b158;1;7
10007;0278944425546630a6aa60fb5abf2b808b446431;ff189061d35cff903af5d25858d6c484;1;5
10008;b20634b6904689db5136a339baecda7fc90c7078;886b02878836e8bc1e06ccfe73cf1d5b;1;6
10011;d2389c5d158d27713c84584a0230e91de29660df;f6fa4051156b35d3a8c9261cb0128d70;1;1
10013;f2dd4a0517d1d1c8824a2cc84c12a3f3ddac8cc2;4d36c89ec1915d018b47fc1ddd685234;1;6
10014;3f126155d0fa803f8043924ce65bacf859b06d9c;3f82790d2d8ad5ddd17b11c911e4352d;1;6
10019;1c661115d0847bbad1ceb320d5667ff3d3ce35ce;f78046c221d06596a47bbeb4288defb0;1;4
10022;bbf79b5dd4fdc14bf8e6ba5caf42956527f01881;4b68739e3e5607de02f8ef72f3cb26bc;1;9
10024;eff7295beac11f9bd14c9625836b674fa0dc808f;a864077a8b7d702f2db8dc868049672d;1;7
10028;521e3210334b293bc2dd78f83debc06b88ae2e62;a4d802981a76d8ecb47871fda35c99d8;1;7
10029;fcda954b9313daa5be2b19e987ffc1e6b8fa2ec5;74b23514e6e5199c3ddd22361128f9bc;1;6
10031;e42df11a92ca9b99e2ef1c860c6f5889b50fd1bf;9d9de70e5d58094bd34c53ff52b18290;1;2
10035;b1250ff98d5623790a3ea80878d038ddb75940ee;9de699ef09f54e3fdd84cf7c2750bfee;1;7
10036;1f6b80b5afdda27b4104f1db1af461691496895a;f08577c753c73a14eeb958451635a1c4;1;6
10037;2bfb7d48832a0332c9cc3e10479ae32287f32d5f;fb665637e25d9b856e635d52512fb320;1;7
10038;8c76c6f85f4af82d1d169310249a402778a29d4b;d3fc3d0ad612ee6f43df58f01d7323ce;1;9
10039;d3946afbf512782434d8363730860e720a25ba12;72f82a67ca77ed29668e0ff9dfd37733;1;2
10040;dd26c33f40119dd015f1aa2798dd2a0c4bfb9e8a;f8da21ba71ebf3727971bce9d9724c3e;1;7
10042;9a39a8b8d31a5c560461c57e608d2bd4e48ee343;858adddf40ed251174a1ccfa4b880090;1;9
10043;2f55a6d7a6df06c4466679496795f6afc804dd94;fdd4fbfc35e05da4b77deb9cdae89390;1;7
10044;42dcfa85b8683907372380003ab87011bfe767b0;e28ea9135eb096977e734a506a486aa0;1;2
10049;ae719b15c3a377060fc0ed175d345f220e2d15c3;f73ea1b038efff72397c749d12fbcda0;1;9
10050;39f2038cf721bc419feab931b3193d9b137d8c83;920256744075b2d2cffcfc5f62c7f2a9;1;2
10057;02a98837e5af48d26594d151e998eb9874fad837;70975d8bdeeb40cb55044f569ddb585d;1;6
10060;5502b9c07178b85bcb78aacaaadcfeb97ac58a62;386b47777d8366e59479528376841e28;1;9
10061;0db168366b9ae15b7b868e32abdadb491bcbcfdc;fe778ea756169a05d3e7ae72100b1978;1;9
10064;338924d03edeb54827ea318e1a6be2266462a7fe;2a2b0c8f4a6e765b810a81ef7d2449fd;1;3
10068;a7667f963605d2ee358fcc9d7f2c42eceb33a3fd;f3d7df9f1882e9f753b19b89aaad6215;1;4
10069;f7ec2873abc2ad78587f2affbdb6e9ae5e876017;96e5a9de91aa21b8d59e5680bc8e98a0;1;6
10070;cdd443436488bca3bcc308b2bafeea3693d797f5;f18c4cc41fa26858c7ff4296d0049f80;1;1
10078;6d86879ecbbf6940b10c9d81c1003950da95d8ce;5abef46a05048e9be91f60b1e8763fc0;1;11
10079;34d1fe27f824011f0e47ba67e5d4deb8d3ed3c78;f8330a82b7b7f6f7f8f249b650d95a97;1;4
10082;01e9d48f78fee3d507f61f22de55c71cb85b7b9d;2bafc99b1f149a88044963b577385f3b;1;11
10083;a6144f726612ae1c6af2dc5d6276307983fe693b;08401f7f7393048d0ac7716abc3a0648;1;4
10085;eedbb0cdfa21c2aa21f1a719218e73ae745332dd;ef466d9b0cebfcbae016649d34a161b6;1;3
10086;04de9e5a66425414a1f9008cabde79d997e556b3;3478e753233c4163dc1b0b95133d4771;1;1
10089;dc9fc418fba7053847d08e514f74b5b78849eb97;cf16ca22fd93735ac9661cb7f9c2fb80;1;1
10091;a05a47a45d972301223a54f68e1e4aaea6ae2f7c;c237cdb1106ed2bbe63fa122273e1d80;1;9
10097;95366d732b68c1309ffdc0df2784fb1134a4c1a5;af7c40ca4ec4665ed819a9eb6409b587;1;5
10100;56ffad3ee1a96ea2d3d2bc4c75fdf8beda216738;537f3a22bb83b8643c0f676887d49f57;1;11
